variable,etiqueta_codebook,modulo,tipo_version,n_informativos,pct_valores_informativos,es_tecnica,es_residual,es_sensibilidad,decision_funcional
ADWRLOSE,WHEN PRBLMS WORST DID YOU LOSE WEIGHT W/O TRYING,ADULT DEPRESSION,Original u otra,7812,16.516,False,False,False,Conservar como predictor principal
ADWRLSIN,WHEN PRBLMS WORST LOSE INTRST IN ENJOYABLE THINGS,ADULT DEPRESSION,Original u otra,10390,21.967,False,False,False,Conservar como predictor principal
ADWRLSL2,WHEN PRBLMS WORST # LBS LOST WITHOUT TRYING,ADULT DEPRESSION,Original u otra,3660,7.738,False,False,False,Conservar como predictor principal
ADWRNOGD,WHEN PRBLMS WRST FEEL NOT AS GOOD AS OTHER PEOPLE,ADULT DEPRESSION,Original u otra,9830,20.783,False,False,False,Conservar como predictor principal
ADWRPLSR,WHEN PRBLMS WORST LOSE PLSURE IN GOOD THINGS,ADULT DEPRESSION,Original u otra,10380,21.945,False,False,False,Conservar como predictor principal
ADWRPREG,WHEN PRBLMS WORST GAIN WGHT W/O TRYING BC PRGN,ADULT DEPRESSION,Original u otra,1211,2.56,False,False,False,Conservar como predictor principal
ADWRPROB,ONE PARTICULAR TIME THAT IS THE WORST ONE EVER,ADULT DEPRESSION,Original u otra,10372,21.929,False,False,False,Conservar como predictor principal
ADWRSLEP,WHEN PRBLMS WORST HAVE PRBS SLEEPING/WAKING EARLY,ADULT DEPRESSION,Original u otra,9838,20.8,False,False,False,Conservar como predictor principal
ADWRSLNO,WHEN PRBLMS WORST PEOP NOTICE SLOWER THAN USUAL,ADULT DEPRESSION,Original u otra,4990,10.55,False,False,False,Conservar como predictor principal
ADWRSLOW,WHEN PRBLMS WORST TALK/MOVE SLOWER THAN USUAL,ADULT DEPRESSION,Original u otra,9774,20.664,False,False,False,Conservar como predictor principal
ADWRSMOR,WHEN PRBLMS WORST SLEEP A LOT MORE THAN USUAL,ADULT DEPRESSION,Original u otra,1947,4.116,False,False,False,Conservar como predictor principal
ADWRTHOT,WHEN PRBLMS WORST THGHTS SLOWER/MORE CONFUSING,ADULT DEPRESSION,Original u otra,9775,20.666,False,False,False,Conservar como predictor principal
ADWRWRTH,WHEN PRBLMS WORST FEEL TOTALLY WORTHLESS EVERYDAY,ADULT DEPRESSION,Original u otra,7834,16.563,False,False,False,Conservar como predictor principal
AD_MDEA1,SAD/EMPTY/DEPRESSED MOST OF DAY OR DISCOURAGED,ADULT DEPRESSION,Original u otra,10385,21.956,False,False,False,Conservar como predictor principal
AD_MDEA2,LOST INTEREST OR PLEASURE IN MOST THINGS,ADULT DEPRESSION,Original u otra,10390,21.967,False,False,False,Conservar como predictor principal
AD_MDEA3,CHANGES IN APPETITE OR WT,ADULT DEPRESSION,Original u otra,9769,20.654,False,False,False,Conservar como predictor principal
AD_MDEA4,SLEEP PROBLEMS,ADULT DEPRESSION,Original u otra,9842,20.808,False,False,False,Conservar como predictor principal
AD_MDEA5,OTHERS NOTICED THAT R WAS RESTLESS OR LETHARGIC,ADULT DEPRESSION,Original u otra,9814,20.749,False,False,False,Conservar como predictor principal
AD_MDEA6,FELT TIRED/LOW ENERGY NEARLY EVERY DAY,ADULT DEPRESSION,Original u otra,9857,20.84,False,False,False,Conservar como predictor principal
AD_MDEA7,FELT WORTHLESS NEARLY EVERY DAY,ADULT DEPRESSION,Original u otra,9854,20.833,False,False,False,Conservar como predictor principal
AD_MDEA8,INABILITY TO CONCENTRATE OR MAKE DECISIONS,ADULT DEPRESSION,Original u otra,9825,20.772,False,False,False,Conservar como predictor principal
AMDEIMP,ADULT: MDE WITH SEVERE ROLE IMPAIRMENT,ADULT DEPRESSION,Original u otra,45617,96.444,False,False,False,Conservar como predictor principal
ASDSHOM2,ADULT: DEPRESS FEELINGS ROLE IMPAIRMENT - HOME MANAGEMENT,ADULT DEPRESSION,Original u otra,5016,10.605,False,False,False,Conservar como predictor principal
ASDSREL2,ADULT: DEP FEELINGS ROLE IMPAIRMENT - CLOSE RELATIONSHIPS,ADULT DEPRESSION,Original u otra,5024,10.622,False,False,False,Conservar como predictor principal
ASDSSOC2,ADULT: DEPRESSIVE FEELINGS ROLE IMPAIRMENT - SOCIAL LIFE,ADULT DEPRESSION,Original u otra,5026,10.626,False,False,False,Conservar como predictor principal
ASDSWRK2,ADULT: DEPRESS FEELINGS ROLE IMPAIRMENT - ABILITY TO WORK,ADULT DEPRESSION,Original u otra,5010,10.592,False,False,False,Conservar como predictor principal
AGADANNOY,ADLT: GAD-7 - EASILY ANNOYED OR IRRITABLE LAST 2 WKS,ADULT MENTAL HEALTH,Original u otra,45882,97.004,False,False,False,Conservar como predictor principal
AGADAWFUL,ADLT: GAD-7 - AFRAID SOMETHING AWFUL MIGHT HAPPEN LAST 2 WKS,ADULT MENTAL HEALTH,Original u otra,45880,97.0,False,False,False,Conservar como predictor principal
AGADNRVANX,"ADLT: GAD-7 - NERVOUS, ANXIOUS, OR ON EDGE LAST 2 WKS",ADULT MENTAL HEALTH,Original u otra,45876,96.991,False,False,False,Conservar como predictor principal
AGADNTSTOP,ADLT: GAD-7 -NOT ABLE TO STOP OR CONTROL WORRYING LAST 2 WKS,ADULT MENTAL HEALTH,Original u otra,45861,96.96,False,False,False,Conservar como predictor principal
AGADRSTLSS,ADLT: GAD-7 - HARD TO SIT STILL BECAUSE RESTLESS LAST 2 WKS,ADULT MENTAL HEALTH,Original u otra,45887,97.015,False,False,False,Conservar como predictor principal
AGADSCED,ADULT GAD-7 TOTAL SCORE - LAST 2 WEEKS,ADULT MENTAL HEALTH,Original u otra,45658,96.531,False,False,False,Conservar como predictor principal
AGADTRBRLX,ADLT: GAD-7 - HAD TROUBLE RELAXING LAST 2 WKS,ADULT MENTAL HEALTH,Original u otra,45896,97.034,False,False,False,Conservar como predictor principal
AGADWRYMCH,ADLT: GAD-7 - WORRIED TOO MUCH ABOUT DIFF THINGS LAST 2 WKS,ADULT MENTAL HEALTH,Original u otra,45863,96.964,False,False,False,Conservar como predictor principal
DSTCHR12,HOW OFTEN COULDN'T BE CHEERED UP IN WORST MONTH,ADULT MENTAL HEALTH,Original u otra,15353,32.459,False,False,False,Conservar como predictor principal
DSTCHR30,HOW OFTEN FELT SAD NOTHING COULD CHEER YOU UP,ADULT MENTAL HEALTH,Original u otra,46065,97.391,False,False,False,Conservar como predictor principal
DSTEFF12,HOW OFT FELT EVERYTHING AN EFFORT IN WORST MON,ADULT MENTAL HEALTH,Original u otra,15341,32.434,False,False,False,Conservar como predictor principal
DSTEFF30,HOW OFT FELT EVERYTHING EFFORT PST 30 DYS,ADULT MENTAL HEALTH,Original u otra,45952,97.152,False,False,False,Conservar como predictor principal
DSTHOP12,HOW OFTEN FELT HOPELESS IN WORST MONTH,ADULT MENTAL HEALTH,Original u otra,15360,32.474,False,False,False,Conservar como predictor principal
DSTHOP30,HOW OFTEN FELT HOPELESS PAST 30 DAYS,ADULT MENTAL HEALTH,Original u otra,46053,97.366,False,False,False,Conservar como predictor principal
DSTNGD12,HOW OFTEN FELT NO GOOD IN WORST MONTH,ADULT MENTAL HEALTH,Original u otra,15353,32.459,False,False,False,Conservar como predictor principal
DSTNGD30,HOW OFT FELT DOWN/WTHLSS/NO GOOD PST 30 DYS,ADULT MENTAL HEALTH,Original u otra,46049,97.357,False,False,False,Conservar como predictor principal
DSTNRV12,"HOW OFT FELT NERVOUS IN WORST MONTH, PST 12 MOS",ADULT MENTAL HEALTH,Original u otra,15357,32.468,False,False,False,Conservar como predictor principal
DSTNRV30,HOW OFTEN FELT NERVOUS PAST 30 DAYS,ADULT MENTAL HEALTH,Original u otra,46072,97.406,False,False,False,Conservar como predictor principal
DSTRST12,HOW OFTEN FELT RESTLESS IN WORST MONTH,ADULT MENTAL HEALTH,Original u otra,15352,32.457,False,False,False,Conservar como predictor principal
DSTRST30,HOW OFTEN FELT RESTLESS/FIDGETY PST 30 DYS,ADULT MENTAL HEALTH,Original u otra,46053,97.366,False,False,False,Conservar como predictor principal
DSTWORST,MON IN PST 12 MOS FELT WORSE THAN PST 30 DYS,ADULT MENTAL HEALTH,Original u otra,45974,97.199,False,False,False,Conservar como predictor principal
IMPCONCN,DIFFICULTY CONCENTRATING ONE MO IN PST 12 MOS,ADULT MENTAL HEALTH,Original u otra,35694,75.465,False,False,False,Conservar como predictor principal
IMPDYFRQ,HOW MANY DAYS IN WEEK DID YOU HAVE DIFFICULTIES,ADULT MENTAL HEALTH,Original u otra,26515,56.058,False,False,False,Conservar como predictor principal
IMPGOUT,DIFFICULTY GOING OUT ONE MO IN PST 12 MO,ADULT MENTAL HEALTH,Original u otra,35699,75.475,False,False,False,Conservar como predictor principal
IMPGOUTM,EMOTIONAL PROBLEMS KEEP YOU FROM LEAVING HOUSE,ADULT MENTAL HEALTH,Original u otra,1204,2.546,False,False,False,Conservar como predictor principal
IMPHHLD,DIFFICULTY HOUSE RESPONS ONE MO IN PST 12 MO,ADULT MENTAL HEALTH,Original u otra,35713,75.505,False,False,False,Conservar como predictor principal
IMPHHLDM,EMOTIONL PROBS MAKE KEEP YOU FRM TAKING CARE HOUS,ADULT MENTAL HEALTH,Original u otra,618,1.307,False,False,False,Conservar como predictor principal
IMPPEOP,DIFFICULTY DEALING W STRANGERS ONE MO IN PST 12 M,ADULT MENTAL HEALTH,Original u otra,35706,75.49,False,False,False,Conservar como predictor principal
IMPPEOPM,EMOTIONAL PROBLEMS KEEP YOU FROM DEALING W STRAGR,ADULT MENTAL HEALTH,Original u otra,1491,3.152,False,False,False,Conservar como predictor principal
IMPREMEM,DIFFICULTY REMEMBERING ONE MO IN PST 12 MOS,ADULT MENTAL HEALTH,Original u otra,35690,75.456,False,False,False,Conservar como predictor principal
IMPRESP,DIFFICULTY WORK RESPONS ONE MO IN PST 12 MO,ADULT MENTAL HEALTH,Original u otra,35696,75.469,False,False,False,Conservar como predictor principal
IMPRESPM,DID EMOTIONAL PROBS KEEP YOU FROM WORK/SCHOOL,ADULT MENTAL HEALTH,Original u otra,2253,4.763,False,False,False,Conservar como predictor principal
IMPSOC,DIFFICULTY PARTICIPATE IN SOCIAL ACT 1 MO /12 MO,ADULT MENTAL HEALTH,Original u otra,35699,75.475,False,False,False,Conservar como predictor principal
IMPSOCM,EMOTIONAL PROBS KEEP YOU FROM PART IN SOCIAL,ADULT MENTAL HEALTH,Original u otra,2172,4.592,False,False,False,Conservar como predictor principal
IMPWEEKS,NUM WEEKS HAVE DIFFICULTIES BECAUSE OF MENTL HLTH,ADULT MENTAL HEALTH,Original u otra,26596,56.23,False,False,False,Conservar como predictor principal
IMPWORK,DIFFICULTY DOING DAILY WORK ONE MO IN PST 12 MO,ADULT MENTAL HEALTH,Original u otra,33433,70.684,False,False,False,Conservar como predictor principal
IMPYDAYS,HOW MANY DAY IN PAST YR YOU WERE UNABLE TO WORK,ADULT MENTAL HEALTH,Original u otra,26898,56.868,False,False,False,Conservar como predictor principal
KSSLR6MONED,K6 TOTAL SCORE IN PAST MONTH,ADULT MENTAL HEALTH,Original u otra,45821,96.875,False,False,False,Conservar como predictor principal
KSSLR6YRED,K6 TOTAL SCORE IN PAST YEAR,ADULT MENTAL HEALTH,Original u otra,15308,32.364,False,False,False,Conservar como predictor principal
WHODASDAED,ALTERNATIVE WHODAS SCORE,ADULT MENTAL HEALTH,Original u otra,45939,97.125,False,False,False,Conservar como predictor principal
WHODASSCED,WHODAS TOTAL SCORE,ADULT MENTAL HEALTH,Original u otra,45939,97.125,False,False,False,Conservar como predictor principal
IRALCAGE,ALCOHOL AGE OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRALCYFU,ALCOHOL YEAR OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRCD2YFU,DAILY CIGARETTE YFU - USING CIGDLYFU - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRCDUAGE,DAILY CIGARETTE AGE OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRCGRAGE,CIGAR AGE OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRCGRYFU,CIGAR YEAR OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRCIGAGE,CIGARETTE AGE OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRCIGYFU,CIGARETTE YEAR OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRCOCAGE,COCAINE AGE OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRCOCYFU,COCAINE YEAR OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRCRKAGE,CRACK AGE OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRCRKYFU,CRACK YEAR OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRECSTMOAGE,ECSTASY AGE OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRECSTMOYFU,ECSTASY YEAR OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRHALLUCAGE,HALLUCINOGEN AGE OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRHALLUCYFU,HALLUCINOGEN YEAR OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRHERAGE,HEROIN AGE OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRHERYFU,HEROIN YEAR OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRINHALAGE2,INHALANTS AGE OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRINHALYFU2,INHALANTS YEAR OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRLSDAGE,LSD AGE OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRLSDYFU,LSD YEAR OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRMETHAMAGE,METHAMPHETAMINE AGE OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRMETHAMYFU,METHAMPHETAMINE YEAR OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRMJAGE,MARIJUANA AGE OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRMJYFU,MARIJUANA YEAR OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRNICVAPAGE,NICOTINE VAPING AGE OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRNICVAPYFU,NICOTINE VAPING YEAR OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRPCPAGE,PCP AGE OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRPCPYFU,PCP YEAR OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRPNRNMAGE,PAIN RELIEVER AGE OF FIRST MISUSE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRPNRNMINIT,PAST YR INITIATE PAIN RELIEVERS MISUSE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRPNRNMYFU,PAIN RELIEVER YEAR OF FIRST MISUSE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRSEDNMAGE,SEDATIVES AGE OF FIRST MISUSE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRSEDNMINIT,PAST YR INITIATE SEDATIVE MISUSE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRSEDNMYFU,SEDATIVES YEAR OF FIRST MISUSE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRSMKLSSTRY,SMOKELESS TOBACCO AGE OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRSMKLSSYFU,SMOKELESS TOBACCO YEAR OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRSTMNMAGE,STIMULANTS AGE OF FIRST MISUSE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRSTMNMINIT,PAST YR INITIATE STIMULANT MISUSE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRSTMNMYFU,STIMULANTS YEAR OF FIRST MISUSE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRTRQNMAGE,TRANQUILIZER AGE OF FIRST MISUSE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRTRQNMINIT,PAST YR INITIATE TRANQUILIZER MISUSE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
IRTRQNMYFU,TRANQUILIZER YEAR OF FIRST MISUSE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal
AL30EST,BEST ESTIMATE # DAYS HAD ONE OR MORE DRINKS,ALCOHOL,Original u otra,23252,49.16,False,False,False,Conservar como predictor principal
ALBSTWAY,EASIEST WAY TO TELL US # DAYS DRANK ALCOHOL,ALCOHOL,Original u otra,47058,99.49,False,False,False,Conservar como predictor principal
ALCBNG30D,# DAYS HAD FOUR/FIVE OR MORE DRINKS PAST 30 DYS,ALCOHOL,Original u otra,46775,98.892,False,False,False,Conservar como predictor principal
