variable,etiqueta_codebook,modulo,tipo_version,n_informativos,pct_valores_informativos,es_tecnica,es_residual,es_sensibilidad,decision_funcional,decision_modulo,justificacion
IRHERYFU,HEROIN YEAR OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRINHALAGE2,INHALANTS AGE OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRINHALYFU2,INHALANTS YEAR OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRLSDAGE,LSD AGE OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRLSDYFU,LSD YEAR OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRMETHAMAGE,METHAMPHETAMINE AGE OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRMETHAMYFU,METHAMPHETAMINE YEAR OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRMJAGE,MARIJUANA AGE OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRMJYFU,MARIJUANA YEAR OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRNICVAPAGE,NICOTINE VAPING AGE OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRNICVAPYFU,NICOTINE VAPING YEAR OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRPCPAGE,PCP AGE OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRPCPYFU,PCP YEAR OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRPNRNMAGE,PAIN RELIEVER AGE OF FIRST MISUSE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRPNRNMINIT,PAST YR INITIATE PAIN RELIEVERS MISUSE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRPNRNMYFU,PAIN RELIEVER YEAR OF FIRST MISUSE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRSEDNMAGE,SEDATIVES AGE OF FIRST MISUSE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRSEDNMINIT,PAST YR INITIATE SEDATIVE MISUSE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRSEDNMYFU,SEDATIVES YEAR OF FIRST MISUSE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRSMKLSSTRY,SMOKELESS TOBACCO AGE OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRSMKLSSYFU,SMOKELESS TOBACCO YEAR OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRSTMNMAGE,STIMULANTS AGE OF FIRST MISUSE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRSTMNMINIT,PAST YR INITIATE STIMULANT MISUSE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRSTMNMYFU,STIMULANTS YEAR OF FIRST MISUSE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRTRQNMAGE,TRANQUILIZER AGE OF FIRST MISUSE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRTRQNMINIT,PAST YR INITIATE TRANQUILIZER MISUSE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRTRQNMYFU,TRANQUILIZER YEAR OF FIRST MISUSE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
AL30EST,BEST ESTIMATE # DAYS HAD ONE OR MORE DRINKS,ALCOHOL,Original u otra,23252,49.16,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
ALBSTWAY,EASIEST WAY TO TELL US # DAYS DRANK ALCOHOL,ALCOHOL,Original u otra,47058,99.49,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
ALCBNG30D,# DAYS HAD FOUR/FIVE OR MORE DRINKS PAST 30 DYS,ALCOHOL,Original u otra,46775,98.892,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
ALCDAYS,# DAYS HAD ONE OR MORE DRINKS PAST 30 DAYS,ALCOHOL,Original u otra,46858,99.068,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
ALCEVER,EVER HAD DRINK OF ALCOHOLIC BEVERAGE,ALCOHOL,Original u otra,47291,99.983,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
ALCMFU,MONTH OF FIRST ALCOHOL USE - RECODE,ALCOHOL,Original u otra,9556,20.203,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
ALCREC,TIME SINCE LAST DRANK ALCOHOLIC BEVERAGE,ALCOHOL,Original u otra,47287,99.975,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
ALCTRY,AGE WHEN FIRST DRANK ALCOHOLIC BEVERAGE,ALCOHOL,Original u otra,47053,99.48,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
ALCUS30D,USUAL # OF DRINKS PER DAY PAST 30 DAYS,ALCOHOL,Original u otra,45732,96.687,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
ALCYFU,YEAR OF FIRST ALCOHOL USE - RECODE,ALCOHOL,Original u otra,9594,20.284,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
ALCYRTOT,TOTAL # OF DAYS USED ALCOHOL IN PAST 12 MOS,ALCOHOL,Original u otra,46973,99.311,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
ALDAYPMO,# DAYS PER MONTH DRANK ALCOHOL IN PAST 12 MOS,ALCOHOL,Original u otra,26907,56.887,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
ALDAYPWK,# DAYS PER WEEK DRANK ALCOHOL IN PAST 12 MOS,ALCOHOL,Original u otra,25761,54.464,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
ALDAYPYR,NUMBER DAYS DRANK ALCOHOL IN PAST 12 MOS,ALCOHOL,Original u otra,24761,52.35,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
BLNT30C1,"BL02/MJ01 DISAGREE, WHICH IS CORRECT",BLUNTS,Original u otra,51,0.108,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
BLNT30C2,"BL02 AND MJ RECENCY DISAGREE, WHICH IS CORRECT",BLUNTS,Original u otra,89,0.188,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
BLNT30DY,# DAYS USED CIGAR WITH MJ IN IT PAST 30 DAYS,BLUNTS,Original u otra,46815,98.977,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
BLNTAGE,AGE WHEN FIRST SMOKED CIGAR WITH MJ IN IT,BLUNTS,Original u otra,46750,98.839,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
BLNTEVER,EVER SMOKED CIGAR WITH MARIJUANA IN IT,BLUNTS,Original u otra,46858,99.068,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
BLNTMFU,MONTH OF FIRST USE OF CIGAR W/MJ IN IT - RECODE,BLUNTS,Original u otra,34720,73.405,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
BLNTNOMJ,SMOKE CIGARS WITH NO MARIJUANA PAST 30 DAYS,BLUNTS,Original u otra,45552,96.306,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
BLNTREC,TIME SINCE LAST SMOKED CIGAR WITH MJ IN IT,BLUNTS,Original u otra,46820,98.987,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
BLNTYFU,YEAR OF FIRST USE OF CIGAR WITH MJ IN IT - RECODE,BLUNTS,Original u otra,34746,73.46,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
RSNMRJMO,WHY REPRT EARLIER NOT USE MJ/CANNABIS PAST 30 DAYS,BLUNTS,Original u otra,53,0.112,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
RSNOMRJ,WHY REPORT EARLIER THAT NEVER USED MJ/CANNABIS,BLUNTS,Original u otra,33,0.07,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
CC30EST,BEST ESTIMATE # DAYS USED COCAINE PAST 30 DAYS,COCAINE,Original u otra,46918,99.194,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
CCBSTWAY,EASIEST WAY TO TELL US # DAYS USED COCAINE,COCAINE,Original u otra,47227,99.848,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
CCDAYPMO,# DAYS PER MONTH USED COCAINE PAST 12 MONTHS,COCAINE,Original u otra,46516,98.345,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
CCDAYPWK,# DAYS PER WEEK USED COCAINE PAST 12 MONTHS,COCAINE,Original u otra,46448,98.201,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
CCDAYPYR,# DAYS USED COCAINE PAST 12 MONTHS,COCAINE,Original u otra,46877,99.108,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
COCAGE,AGE WHEN FIRST USED COCAINE,COCAINE,Original u otra,47252,99.901,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
COCEVER,EVER USED COCAINE,COCAINE,Original u otra,47284,99.968,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
COCMFU,MONTH OF FIRST COCAINE USE - RECODE,COCAINE,Original u otra,40804,86.268,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
COCREC,TIME SINCE LAST USED COCAINE,COCAINE,Original u otra,47267,99.932,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
COCUS30A,# DAYS USED COCAINE PAST 30 DAYS,COCAINE,Original u otra,47235,99.865,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
COCYFU,YEAR OF FIRST COCAINE USE - RECODE,COCAINE,Original u otra,40812,86.285,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
COCYRTOT,TOTAL # OF DAYS USED COCAINE IN PAST 12 MONTHS,COCAINE,Original u otra,47227,99.848,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
CABINGAGE,AGE 1ST TIME HAD 4 OR 5 OR MORE DRINKS SAME OCCASION,CONSUMPTION OF ALCOHOL,Original u otra,30738,64.987,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
CABINGEVR,EVER HAD 4/5 OR MORE DRINKS ON THE SAME OCCASION,CONSUMPTION OF ALCOHOL,Original u otra,35072,74.15,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
CABINGFLG,ANY REPORT OF 4+ OR 5+ DRINKS FROM ALCOHOL MODULE,CONSUMPTION OF ALCOHOL,Original u otra,11075,23.415,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
CABINGMFU,MONTH OF 4 OR 5+ DRINKS ON SAME OCCASION - RECODE,CONSUMPTION OF ALCOHOL,Original u otra,10117,21.389,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
CABINGYFU,YEAR OF FIRST 4 OR 5 + DRINKS ON SAME OCCASION - RECODE,CONSUMPTION OF ALCOHOL,Original u otra,10200,21.565,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
CABPLACE,WHERE YOU BOUGHT LAST ALCOHOLIC BEVERAGE,CONSUMPTION OF ALCOHOL,Original u otra,23332,49.329,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
CABUNDAG,BUY LAST ALCOHOLIC BEVERAGE FR SOMEONE <21 OR 21+,CONSUMPTION OF ALCOHOL,Original u otra,23148,48.94,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
CABUYFRE,PAY FOR THE LAST ALCOHOLIC BEVERAGE THAT U DRANK,CONSUMPTION OF ALCOHOL,Original u otra,24431,51.652,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
CABUYWHO,STATEMENT BEST DESCRIBES PURCHASE OF LAST ALCOHOL,CONSUMPTION OF ALCOHOL,Original u otra,23355,49.377,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
CADRBAR,"I DRANK IN A RESTAURANT, BAR OR CLUB",CONSUMPTION OF ALCOHOL,Original u otra,24427,51.644,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
CADRCAR,I DRANK IN A CAR OR OTHER VEHICLE,CONSUMPTION OF ALCOHOL,Original u otra,24430,51.65,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
CADREVNT,I DRANK AT A CONCERT OR SPORTS GAME,CONSUMPTION OF ALCOHOL,Original u otra,24430,51.65,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
CADRHOME,I DRANK AT MY HOME,CONSUMPTION OF ALCOHOL,Original u otra,24428,51.646,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
CADRKCOCN,USED COCAINE OR 'CRACK' WHILE YOU WERE DRINKING,CONSUMPTION OF ALCOHOL,Original u otra,40481,85.585,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
CADRKDRUG,ALSO USED DRUGS WHILE YOU WERE DRINKING,CONSUMPTION OF ALCOHOL,Original u otra,46737,98.812,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
CADRKHALL,USED HALLUCINOGENS WHILE YOU WERE DRINKING,CONSUMPTION OF ALCOHOL,Original u otra,40579,85.793,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
CADRKHERN,USED HEROIN WHILE YOU WERE DRINKING,CONSUMPTION OF ALCOHOL,Original u otra,40328,85.262,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
