variable,etiqueta_codebook,modulo,tipo_version,n_informativos,pct_valores_informativos,es_tecnica,es_residual,es_sensibilidad,decision_funcional,decision_modulo,justificacion
LVLDIFCOMM2,LEVEL OF DIFFICULTY COMMUNICATING USING YOUR USUAL LANGUAGE,DEMOGRAPHICS,Original u otra,45722,96.666,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
LVLDIFHEAR2,LEVEL OF DIFFICULTY HEARING EVEN WITH HEARING AIDS,DEMOGRAPHICS,Original u otra,45674,96.564,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
LVLDIFMEM2,LEVEL OF DIFFICULTY REMEMBERING OR CONCENTRATING,DEMOGRAPHICS,Original u otra,45723,96.668,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
LVLDIFSEE2,LEVEL OF DIFFICULTY SEEING EVEN WITH GLASSES,DEMOGRAPHICS,Original u otra,45709,96.638,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
LVLDIFWALK2,LEVEL OF DIFFICULTY WALKING OR CLIMBING STEPS,DEMOGRAPHICS,Original u otra,45727,96.676,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
MILSTAT,CURRENT MILITARY STATUS,DEMOGRAPHICS,Original u otra,2350,4.968,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
MOVSINPYR2,# TIMES MOVED PAST 12 MONTHS- RECODED,DEMOGRAPHICS,Original u otra,45448,96.087,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
NOMARR2,NUMBER OF TIMES MARRIED,DEMOGRAPHICS,Original u otra,24851,52.54,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
SERVICE,EVER BEEN IN THE US ARMED FORCES,DEMOGRAPHICS,Original u otra,47274,99.947,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
SPEAKENGL,HOW WELL SPEAK ENGLISH,DEMOGRAPHICS,Original u otra,45770,96.767,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
EDUFULPAR,FULL OR PART TIME,EDUCATION,Original u otra,6772,14.317,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
EDUSCHGRD2,WHAT GRADE IN NOW/WILL BE IN,EDUCATION,Original u otra,6512,13.768,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
EDUSCHLGO,NOW GOING TO SCHOOL,EDUCATION,Original u otra,45378,95.939,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
EDUSCKCOM,RC - HOW MANY DAYS MISSED SCHOOL FROM SICK (COMBINED),EDUCATION,Original u otra,4682,9.899,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
EDUSCKEST,BEST ESTIMATE # DAYS MISSED BECAUSE SICK OR INURED,EDUCATION,Original u otra,38,0.08,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
EDUSCKMON,HOW MANY DAYS MISSED SCHOOL FROM SICK,EDUCATION,Original u otra,4644,9.818,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
EDUSKPCOM,RC - HOW MANY DAYS MISSED SCHOOL FROM SKIPPING (COMBINED),EDUCATION,Original u otra,4187,8.852,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
EDUSKPEST,BEST ESTIMATE # DAYS MISSED BECAUSE SKIPPED OR CUT,EDUCATION,Original u otra,29,0.061,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
EDUSKPMON,HOW MANY DAYS MISSED SCHOOL FROM SKIPPING,EDUCATION,Original u otra,4158,8.791,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
MILTCHLDR,SON OR DAUGHTER IN MILITARY,EDUCATION,Original u otra,2867,6.061,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
MILTFAMLY,ANY IMMEDIATE FAMILY CURRENTLY IN US MILITARY,EDUCATION,Original u otra,45358,95.896,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
MILTPARNT,FATHER OR MOTHER IN MILITARY,EDUCATION,Original u otra,2875,6.078,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
MILTSIBLN,SISTER OR BROTHER IN MILITARY,EDUCATION,Original u otra,2885,6.099,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
MILTSPPAR,SPOUSE OR PARTNER IN MILITARY,EDUCATION,Original u otra,2885,6.099,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
WRK35WKUS,USUALLY WORK 35 OR MORE HRS PER WEEK,EMPLOYMENT,Original u otra,29006,61.325,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
WRKDHRSWK2,HOW MANY HOURS WORKED LAST WEEK,EMPLOYMENT,Original u otra,26318,55.642,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
WRKDPSTWK,WORK AT JOB LAST WEEK,EMPLOYMENT,Original u otra,45421,96.03,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
WRKDPSTYR,"PAST 12 MOS, WORKED AT ANY JOB",EMPLOYMENT,Original u otra,16387,34.646,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
WRKEFFORT,"PAST 30 DAYS, MAKE EFFORT TO FIND WORK",EMPLOYMENT,Original u otra,3229,6.827,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
WRKHADJOB,DID YOU HAVE A JOB OR BUSINESS,EMPLOYMENT,Original u otra,18870,39.895,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
WRKLASTYR2,WHAT YEAR LAST WORKED,EMPLOYMENT,Original u otra,15631,33.047,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
WRKNJBPYR,"PAST 12 MOS, TIME WITH NO JOB",EMPLOYMENT,Original u otra,28974,61.257,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
WRKNJBWKS,HOW MANY WKS W/O JOB IN PAST 12 MOS,EMPLOYMENT,Original u otra,4156,8.787,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
WRKNUMJOB2,"PAST 12 MOS, HOW MANY EMPLOYERS",EMPLOYMENT,Original u otra,33232,70.259,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
WRKRSNJOB,REASON FOR NOT HAVING A JOB - PAST WK,EMPLOYMENT,Original u otra,16138,34.119,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
WRKRSNNOT,REASON FOR NOT WORKING AT JOB - PAST WK,EMPLOYMENT,Original u otra,2543,5.376,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
WRKSELFEM,"PAST 12 MOS, SELF EMPLOYED",EMPLOYMENT,Original u otra,33163,70.114,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
WRKSICKMO,# DAYS MISSED WORK FOR INJURY/ILLNESS PAST 30 DAYS,EMPLOYMENT,Original u otra,28740,60.762,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
WRKSKIPMO,# DAYS SKIPPED WORK PAST 30 DAYS,EMPLOYMENT,Original u otra,28753,60.79,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
WRKSTATWK2,WORK SITUATION IN PAST WEEK - RECODE,EMPLOYMENT,Original u otra,45428,96.044,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
ASTHMAAGE,AGE ASTHMA 1ST DIAGNOSED,HEALTH,Original u otra,5309,11.224,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
ASTHMAEVR2,EVER TOLD HAD ASTHMA,HEALTH,Original u otra,45963,97.175,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
ASTHMANOW,STILL HAVE ASTHMA,HEALTH,Original u otra,5426,11.472,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
CABLADDER,TYPE OF CANCER: BLADDER,HEALTH,Original u otra,1950,4.123,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
CABLOLEULYM,TYPE OF CANCER: BLOOD/LEUKEMIA/LYMPHOMA,HEALTH,Original u otra,1950,4.123,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
CABREAST,TYPE OF CANCER: BREAST,HEALTH,Original u otra,1950,4.123,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
CACERVIX,TYPE OF CANCER: CERVIX (FEMALES ONLY),HEALTH,Original u otra,1145,2.421,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
CACOLNRECT,TYPE OF CANCER: COLON/RECTUM,HEALTH,Original u otra,1950,4.123,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
CAESOPSTOM,TYPE OF CANCER: ESOPHAGUS/STOMACH,HEALTH,Original u otra,1950,4.123,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
CAGALLIVPAN,TYPE OF CANCER: GALLBLADDER/LIVER/PANCREAS,HEALTH,Original u otra,1950,4.123,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
CAKIDNEY,TYPE OF CANCER: KIDNEY,HEALTH,Original u otra,1950,4.123,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
CALARYLUNG,TYPE OF CANCER: LARYNX/WINDPIPE/LUNG,HEALTH,Original u otra,1950,4.123,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
CAMELANOM,TYPE OF CANCER: MELANOMA,HEALTH,Original u otra,1950,4.123,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
CAMOUTTHRO,TYPE OF CANCER: MOUTH/TONGUE/LIP/THROAT/PHARYNX,HEALTH,Original u otra,1950,4.123,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
CANCEREVR2,EVER TOLD HAD CANCER,HEALTH,Original u otra,45963,97.175,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
CANCERYR,HAD ANY CANCER PAST 12 MONTHS,HEALTH,Original u otra,1838,3.886,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
CAOTHER2,TYPE OF CANCER: OTHER,HEALTH,Original u otra,1950,4.123,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
CAOVARY,TYPE OF CANCER: OVARY (FEMALES ONLY),HEALTH,Original u otra,1145,2.421,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
CAPROSTEST,TYPE OF CANCER: PROSTATE/TESTIS (MALES ONLY),HEALTH,Original u otra,805,1.702,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
CASKINDK,TYPE OF CANCER: SKIN DON'T KNOW WHICH KIND,HEALTH,Original u otra,1950,4.123,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
CASKINOTH,TYPE OF CANCER: SKIN (NOT MELANOMA),HEALTH,Original u otra,1950,4.123,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
CATHYROID,TYPE OF CANCER: THYROID,HEALTH,Original u otra,1950,4.123,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
CAUTERUS,TYPE OF CANCER: UTERUS (FEMALES ONLY),HEALTH,Original u otra,1145,2.421,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
CIRROSAGE,AGE CIRRHOSIS 1ST DIAGNOSED,HEALTH,Original u otra,115,0.243,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
CIRROSEVR2,EVER TOLD HAD CIRRHOSIS OF THE LIVER,HEALTH,Original u otra,45963,97.175,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
COPDAGE,AGE COPD 1ST DIAGNOSED,HEALTH,Original u otra,1111,2.349,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
COPDEVER2,EVER TOLD HAD CHRONIC BRONCHITIS OR COPD,HEALTH,Original u otra,45963,97.175,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
DIABETEAG,AGE DIABETES 1ST DIAGNOSED,HEALTH,Original u otra,3660,7.738,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
DIABETEVR2,EVER TOLD HAD DIABETES/SUGAR DIABETES,HEALTH,Original u otra,45963,97.175,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HEPBCAGE,AGE HEPATITIS 1ST DIAGNOSED,HEALTH,Original u otra,449,0.949,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HEPBCEVER2,EVER TOLD HAD HEPATITIS B OR C,HEALTH,Original u otra,45963,97.175,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HIGHBPAGE,AGE WHEN HIGH BLOOD PRESSURE 1ST DIAGNOSED,HEALTH,Original u otra,4925,10.412,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HIGHBPEVR2,EVER TOLD HAD HIGH BLOOD PRESSURE,HEALTH,Original u otra,45963,97.175,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HIGHBPMED,TAKING MEDS FOR HIGH BLOOD PRESSURE,HEALTH,Original u otra,6502,13.747,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HIVAIDSAG,AGE 1ST FOUND OUT HAD HIV/AIDS,HEALTH,Original u otra,113,0.239,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HIVAIDSEV2,EVER TOLD HAD HIV OR AIDS,HEALTH,Original u otra,45963,97.175,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HPALCAMT2,DOCTOR ASKED HOW MUCH YOU DRINK,HEALTH,Original u otra,40085,84.748,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HPALCCUT2,DOCTOR ADVISED YOU TO CUT DOWN ON DRINKING,HEALTH,Original u otra,40085,84.748,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HPALCFRQ2,DOCTOR ASKED HOW OFTEN YOU DRINK,HEALTH,Original u otra,40085,84.748,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HPALCNOT2,DOCTOR DIDNT DISCUSS MY ALCOHOL USE WITH ME,HEALTH,Original u otra,40085,84.748,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HPALCPRB2,DOCTOR ASKED IF ANY DRINKING PROBS,HEALTH,Original u otra,40085,84.748,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HPALCTX2,DOCTOR OFFERED INFO ABOUT ALCOHOL TREATMT,HEALTH,Original u otra,40085,84.748,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HPDRGTALK,HEALTH PROF DISCUSSED MY DRUG USE WITH ME,HEALTH,Original u otra,43822,92.649,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HPQTTOB,HEALTH PROF ADVISED YOU TO QUIT TOBACCO USE,HEALTH,Original u otra,44098,93.232,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HPUSEALC,HEALTH PROF ASKED PST 12 MOS: ALCOHOL USE,HEALTH,Original u otra,36213,76.562,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HPUSEDRG,HEALTH PROF ASKED PST 12 MOS: DRUG USE,HEALTH,Original u otra,36175,76.482,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HPUSETOB,HEALTH PROF ASKED PST 12 MOS: TOBACCO USE,HEALTH,Original u otra,36208,76.551,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HRTCONDAG,AGE HEART CONDITION 1ST DIAGNOSED,HEALTH,Original u otra,3509,7.419,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HRTCONDEV2,EVER TOLD HAD HEART CONDITION,HEALTH,Original u otra,45963,97.175,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HRTCONDYR,HAD HEART CONDITION PAST 12 MONTHS,HEALTH,Original u otra,3393,7.174,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HTANSWER,PREFERRED WAY TO REPORT HEIGHT,HEALTH,Original u otra,45907,97.057,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HTINCHE2,HEIGHT IN INCHES WITHOUT SHOES - RECODE,HEALTH,Original u otra,45450,96.091,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
INHOSPYR,STAYED OVERNIGHT AS INPNT IN HOSP PAST 12 MOS,HEALTH,Original u otra,46311,97.911,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
KIDNYDSAG,AGE KIDNEY DISEASE 1ST DIAGNOSED,HEALTH,Original u otra,815,1.723,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
KIDNYDSEV2,EVER TOLD HAD KIDNEY DISEASE,HEALTH,Original u otra,45963,97.175,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
NMERTMT2,# OF TIMES BEEN TREATED IN EMER ROOM PAST 12 MOS,HEALTH,Original u otra,45877,96.994,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
NMNGTHS2,# NIGHTS STAYED IN HOSPITAL OVERNIGHT OR LONGER,HEALTH,Original u otra,3394,7.176,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
NMVSOEST,# TIMES VISITED DR ABOUT OWN HEALTH PST YR,HEALTH,Original u otra,507,1.072,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
NMVSOPT2,# OUTPATIENT VISITS PAST 12 MOS - RECODE,HEALTH,Original u otra,45691,96.6,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
NONABOVEV2,NEVER HAD ANY OF THESE CONDITIONS,HEALTH,Original u otra,45963,97.175,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
PREGSTAT,CURRENTLY PREGNANT (FEMALES AGED 12-50),HEALTH,Original u otra,19839,41.944,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
TELEAPTYR,TALK TO DOC ABOUT HEALTH OVER PHONE/EMAIL/VIDEO PST 12 MOS,HEALTH,Original u otra,46272,97.829,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
WTANSWER,PREFERRED WAY TO REPORT WEIGHT,HEALTH,Original u otra,45814,96.86,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
WTPOUND2,WEIGHT IN POUNDS - RECODE,HEALTH,Original u otra,45427,96.042,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
CAIDCHIP,COVERED BY MEDICAID/CHIP,HEALTH INSURANCE,Original u otra,45287,95.746,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
CHAMPUS,"COV BY TRICARE, CHAMPUS, CHAMPVA, VA, MILITARY",HEALTH INSURANCE,Original u otra,45535,96.271,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
GRPHLTIN,PRIVATE PLAN OFFERED THROUGH EMPLOYER OR UNION,HEALTH INSURANCE,Original u otra,26714,56.479,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HLCLAST,TIME SINCE LAST HAD HEALTH CARE COVERAGE,HEALTH INSURANCE,Original u otra,4849,10.252,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HLCNOTMO,"PAST 12 MOS, HOW MANY MOS W/O COVERAGE",HEALTH INSURANCE,Original u otra,2498,5.281,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HLCNOTYR,ANYTIME DID NOT HAVE HEALTH INS/COVER PAST 12 MOS,HEALTH INSURANCE,Original u otra,40211,85.014,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HLLOSRSN,MAIN REASON STOPPED COVERED BY HEALTH INSURANCE,HEALTH INSURANCE,Original u otra,3693,7.808,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HLNVCOST,NEVER HAD HEALTH INSURANCE BECAUSE COST TOO HIGH,HEALTH INSURANCE,Original u otra,1093,2.311,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HLNVNEED,NEVER HAD HEALTH INSURANCE BECAUSE DON'T NEED IT,HEALTH INSURANCE,Original u otra,1093,2.311,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HLNVOFFR,NEVER HAD HEALTH INSURANCE BECAUSE EMPLOYER DOESN'T OFFER,HEALTH INSURANCE,Original u otra,1093,2.311,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HLNVREF,NEVER HAD HEALTH INSURANCE BC INS COMPANY REFUSED COVERAGE,HEALTH INSURANCE,Original u otra,1093,2.311,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HLNVSOR,NEVER HAD HEALTH INSURANCE BECAUSE OF SOME OTHER REASON,HEALTH INSURANCE,Original u otra,1093,2.311,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HLTINALC,PRIVATE INSURANCE COVERS TRMT FOR ALCOHOL ABUSE/ALCOHOLISM,HEALTH INSURANCE,Original u otra,20451,43.238,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
