variable,modulo,etiqueta_codebook,objetivos_afectados,tipos_vinculo,nivel_min,nivel_max,n_unicos,pct_nan,decision,motivo_decision
ADWRIMP,ADULT DEPRESSION,EMOT DISTRSS SO SEVERE COULD NT DO DLY ACTIVITIES,IRAMDEYR,Variable de origen,3,3,8.0,0.0,Excluir de las variables de entrada,Variable utilizada directa o indirectamente para construir una variable objetivo
SMIPPPY,RECODED ADULT MENTAL HEALTH,RC-IMP PREDICTED SERIOUS MENTAL ILLNESS PROB PY,"IRAMDEYR, IRSUICTHNK",Variable derivada,1,1,4185.0,0.0,Excluir de las variables de entrada,Variable derivada directa o indirectamente de una variable objetivo
AMIPY,RECODED ADULT MENTAL HEALTH,RC-IMP AMI IND (1/0) BASED ON PREDICTED SMI PROB PY,"IRAMDEYR, IRSUICTHNK",Variable derivada,2,2,2.0,0.0,Excluir de las variables de entrada,Variable derivada directa o indirectamente de una variable objetivo
SMIPY,RECODED ADULT MENTAL HEALTH,RC-IMP SMI IND (1/0) BASED ON PREDICTED SMI PROB PY,"IRAMDEYR, IRSUICTHNK",Variable derivada,2,2,2.0,0.0,Excluir de las variables de entrada,Variable derivada directa o indirectamente de una variable objetivo
SMMIPY,RECODED ADULT MENTAL HEALTH,RC-IMP SMMI IND (1/0) BASED ON PREDICTED SMI PROB PY,"IRAMDEYR, IRSUICTHNK",Variable derivada,2,2,2.0,0.0,Excluir de las variables de entrada,Variable derivada directa o indirectamente de una variable objetivo
AMIRSUD5ANY,RECODED ADULT MENTAL HEALTH,RC-IMP AMI OR SUB USE DISORDER - PAST YEAR-DSM-5 - ANY,"IRAMDEYR, IRSUICTHNK",Variable derivada,3,3,2.0,0.0,Excluir de las variables de entrada,Variable derivada directa o indirectamente de una variable objetivo
AMISUD5ANY,RECODED ADULT MENTAL HEALTH,RC-IMP AMI AND SUB USE DISORDER - PAST YEAR-DSM-5 - ANY,"IRAMDEYR, IRSUICTHNK",Variable derivada,3,3,2.0,0.0,Excluir de las variables de entrada,Variable derivada directa o indirectamente de una variable objetivo
AMISUD5ANYO,RECODED ADULT MENTAL HEALTH,"RC-ONLY IMP AMI, ONLY SUD, BOTH, OR NEITHER - PY-DSM-5-ANY","IRAMDEYR, IRSUICTHNK",Variable derivada,3,3,4.0,0.0,Excluir de las variables de entrada,Variable derivada directa o indirectamente de una variable objetivo
LMIPY,RECODED ADULT MENTAL HEALTH,RC-IMP MILD MI IND (1/0) BASED ON PRED SMI PROB PY,"IRAMDEYR, IRSUICTHNK",Variable derivada,3,3,2.0,0.0,Excluir de las variables de entrada,Variable derivada directa o indirectamente de una variable objetivo
MICATPY,RECODED ADULT MENTAL HEALTH,RC-IMP CATEGORICAL MI INDICATOR PY,"IRAMDEYR, IRSUICTHNK",Variable derivada,3,3,4.0,0.0,Excluir de las variables de entrada,Variable derivada directa o indirectamente de una variable objetivo
MMIPY,RECODED ADULT MENTAL HEALTH,RC-IMP MOD MI IND (1/0) BASED ON PRED SMI PROB PY,"IRAMDEYR, IRSUICTHNK",Variable derivada,3,3,2.0,0.0,Excluir de las variables de entrada,Variable derivada directa o indirectamente de una variable objetivo
SMIRSUD5ANY,RECODED ADULT MENTAL HEALTH,RC-IMP SMI OR SUB USE DISORDER - PAST YEAR-DSM-5 - ANY,"IRAMDEYR, IRSUICTHNK",Variable derivada,3,3,2.0,0.0,Excluir de las variables de entrada,Variable derivada directa o indirectamente de una variable objetivo
SMISUD5ANY,RECODED ADULT MENTAL HEALTH,RC-IMP SMI AND SUB USE DISORDER - PAST YEAR-DSM-5 - ANY,"IRAMDEYR, IRSUICTHNK",Variable derivada,3,3,2.0,0.0,Excluir de las variables de entrada,Variable derivada directa o indirectamente de una variable objetivo
SMISUD5ANYO,RECODED ADULT MENTAL HEALTH,"RC-ONLY IMP SMI, ONLY SUD, BOTH, OR NEITHER - PY-DSM-5-ANY","IRAMDEYR, IRSUICTHNK",Variable derivada,3,3,4.0,0.0,Excluir de las variables de entrada,Variable derivada directa o indirectamente de una variable objetivo
LMMIPY,RECODED ADULT MENTAL HEALTH,RC-IMP LMMI IND (1/0) BASED ON PREDICTED SMI PROB PY,"IRAMDEYR, IRSUICTHNK",Variable derivada,4,4,2.0,0.0,Excluir de las variables de entrada,Variable derivada directa o indirectamente de una variable objetivo
LMMISUD5ANY,RECODED ADULT MENTAL HEALTH,RC-IMP LMMI AND SUB USE DISORDER - PAST YEAR-DSM-5 - ANY,"IRAMDEYR, IRSUICTHNK",Variable derivada,5,5,2.0,0.0,Excluir de las variables de entrada,Variable derivada directa o indirectamente de una variable objetivo
SUICTHNK,ADULT MENTAL HEALTH,SERIOUSLY THINK ABOUT KILLING SELF PST 12 MOS,IRSUICTHNK,Variable de origen,1,1,6.0,0.0,Excluir de las variables de entrada,Variable utilizada directa o indirectamente para construir una variable objetivo
ADSUITPACOM,RECODED ADULT MENTAL HEALTH,RC-ADULT PY SUICIDE THOUGHTS/PLANS/ATTEMPTS COMBINATIONS,"IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",Variable derivada,1,1,8.0,0.0,Excluir de las variables de entrada,Variable derivada directa o indirectamente de una variable objetivo
ADSUITPAYR,RECODED ADULT MENTAL HEALTH,"RC-ADULT THOUGHT ABOUT, PLANNED, OR ATTEMPTED SUICIDE - PY","IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",Variable derivada,1,1,2.0,0.0,Excluir de las variables de entrada,Variable derivada directa o indirectamente de una variable objetivo
SUIPLANYR,ADULT MENTAL HEALTH,ADULT MAKE PLANS TO KILL SELF PST 12 MOS,IRSUIPLANYR,Variable de origen,1,1,6.0,0.0,Excluir de las variables de entrada,Variable utilizada directa o indirectamente para construir una variable objetivo
