modulo,variables,decision_modulo,justificacion
RECODED SPECIAL DRUGS,13,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
RECODED SPECIAL TOPICS,7,Revisión específica: módulo mixto,Contenido heterogéneo pendiente de revisión documental
RECODED SUBSTANCE USE DISORDER,36,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
RISK/AVAILABILITY,21,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
SEDATIVES,28,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
SEDATIVES SCREENER,3,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
SEGMENT,1,Excluir: contexto técnico o de entrevista,"Información geográfica, auxiliar o propia de la entrevista"
SOCIAL ENVIRONMENT,7,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
SPECIAL DRUGS,31,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
SPECIAL TOPICS,26,Revisión específica: módulo mixto,Contenido heterogéneo pendiente de revisión documental
STIMULANTS,30,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
STIMULANTS SCREENER,2,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
SUBSTANCE USE DISORDER,333,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
TRANQUILIZERS,28,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
TRANQUILIZERS SCREENER,3,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
